Round,Round,Pk,Player,College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,Year,Group
2,2,36.0,Charles Jones,Louisville,4,201,3009,1015,758,206,.493,.111,.611,15.0,5.0,3.8,1.0,4.5,.072,-0.9,0.8,1984,4
2,2,37.0,Ben Coleman,Maryland,5,227,3612,1494,928,128,.516,.000,.759,15.9,6.6,4.1,0.6,5.0,.067,-3.4,-1.3,1984,4
2,2,38.0,Charlie Sitton,Oregon State,1,43,304,91,60,26,.415,.000,.520,7.1,2.1,1.4,0.6,0.1,.008,-5.3,-0.2,1984,4
2,2,39.0,Danny Young,Wake Forest,10,574,9536,2622,709,1674,.437,.327,.835,16.6,4.6,1.2,2.9,20.2,.101,0.7,6.6,1984,4
2,2,40.0,Anthony Teachey,Wake Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,4
2,2,41.0,Tom Sluby,Notre Dame,1,31,151,73,12,16,.517,.000,.619,4.9,2.4,0.4,0.5,0.2,.052,-3.4,0.0,1984,5
2,2,42.0,Willie White,Chattanooga,2,82,577,302,80,82,.432,.313,.741,7.0,3.7,1.0,1.0,0.3,.028,-2.3,0.0,1984,5
2,2,43.0,Greg Wiltjer,Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,5
2,2,44.0,Fred Reynolds,Texas-El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,5
2,2,45.0,Gary Plummer,Boston University,2,126,1439,531,307,66,.430,.143,.717,11.4,4.2,2.4,0.5,0.2,.006,-6.6,-1.7,1984,5
2,2,46.0,Jerome Kersey,Longwood University,17,1153,28115,11825,6339,2134,.465,.201,.690,24.4,10.3,5.5,1.9,69.5,.119,0.7,19.3,1984,5
2,2,47.0,Ronnie Williams,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,5
3,3,48.0,James Banks,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,5
3,3,49.0,Tim Dillon,Northern Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,5
3,3,50.0,Ben McDonald,"University of California, Irvine",4,176,3692,1061,568,236,.468,.227,.727,21.0,6.0,3.2,1.3,2.5,.033,-4.2,-2.1,1984,5
3,3,51.0,Jim Petersen,Minnesota,8,491,9802,3397,2354,487,.486,.071,.725,20.0,6.9,4.8,1.0,13.8,.067,-2.7,-1.6,1984,6
3,3,52.0,Terry Williams,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
3,3,53.0,Ricky Ross,Tulsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
3,3,54.0,Roosevelt Chapman,Dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
3,3,55.0,Lewis Jackson,Alabama State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
3,3,56.0,Jeff Allen,St. John's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
