Pk,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP
35.0,5.97,315.74,6801.39,2384.71,1637.52,417.58,0.42,0.19,0.6,14.31,4.94,2.82,1.1,14.4,0.04,-2.52,2.19
36.0,3.52,176.29,3581.26,1512.1,689.9,227.0,0.33,0.14,0.52,10.2,3.85,1.9,0.75,6.67,0.05,-1.93,0.98
37.0,4.61,230.61,4489.77,1654.45,627.9,511.81,0.36,0.18,0.58,12.01,4.38,1.95,1.09,7.56,0.02,-3.77,1.03
38.0,3.84,193.39,3834.74,1251.45,602.58,360.74,0.34,0.15,0.5,10.89,3.35,1.9,0.86,6.77,0.02,-3.26,0.69
39.0,3.52,151.84,2553.65,869.48,355.58,266.65,0.29,0.15,0.46,8.8,3.05,1.36,0.7,4.33,0.02,-3.13,0.61
40.0,4.03,223.94,5062.35,1878.87,614.0,665.19,0.35,0.17,0.49,13.29,4.85,1.94,1.38,6.28,0.02,-3.22,0.47
41.0,3.26,141.77,3010.71,1154.81,479.52,189.77,0.33,0.09,0.48,9.54,3.35,1.69,0.63,4.57,0.02,-3.24,0.34
42.0,3.03,144.68,3037.58,1087.48,564.45,244.74,0.24,0.12,0.38,8.32,2.81,1.45,0.7,5.62,0.03,-1.68,0.62
43.0,5.06,261.1,5966.74,2308.74,892.68,480.74,0.32,0.14,0.52,12.38,4.75,1.93,0.88,10.02,-0.0,-3.92,1.71
44.0,2.52,103.74,1577.58,546.13,275.16,117.16,0.17,0.06,0.25,4.62,1.55,0.82,0.33,2.55,0.02,-1.44,0.05
45.0,4.61,272.13,6126.03,2469.0,995.71,544.58,0.33,0.17,0.57,13.73,4.96,2.05,1.09,13.1,0.05,-1.7,2.91
46.0,3.74,197.0,4466.9,1800.32,702.52,427.65,0.28,0.12,0.44,9.34,3.63,1.51,0.79,10.44,0.04,-1.97,3.23
47.0,4.1,217.87,5107.39,2110.03,780.1,539.06,0.3,0.17,0.46,11.18,4.14,1.75,1.11,9.24,0.09,0.54,1.82
48.0,3.26,167.71,3972.06,1614.32,675.55,431.39,0.28,0.14,0.44,9.6,3.64,1.66,0.85,8.64,0.02,-2.2,2.49
49.0,2.32,106.94,1746.26,624.68,303.97,143.97,0.2,0.08,0.32,6.44,2.12,1.12,0.55,2.83,0.01,-1.87,0.21
50.0,2.42,105.97,1850.42,640.58,264.61,125.94,0.27,0.08,0.39,7.23,2.43,1.22,0.46,3.35,0.02,-2.69,0.21
51.0,2.23,108.32,2047.29,764.16,315.71,135.0,0.21,0.09,0.33,5.69,1.97,1.04,0.35,3.73,0.01,-2.59,0.48
52.0,2.26,89.29,1347.45,437.84,181.39,137.58,0.23,0.11,0.41,7.04,2.19,1.01,0.74,2.25,0.01,-2.75,0.16
53.0,2.55,129.32,2779.48,860.29,485.68,215.06,0.21,0.1,0.35,7.31,2.23,1.25,0.58,5.25,0.01,-1.93,0.72
54.0,2.0,102.1,1951.35,706.13,291.84,119.74,0.19,0.08,0.3,5.62,1.95,0.82,0.37,2.97,0.01,-1.93,-0.17
55.0,2.48,127.36,2296.28,854.76,364.64,159.4,0.2,0.09,0.32,6.75,2.4,1.1,0.51,3.87,-0.0,-2.52,0.26
56.0,2.28,124.96,2532.44,1031.24,531.16,227.52,0.22,0.09,0.3,6.22,2.28,1.26,0.47,5.64,-0.0,-3.28,0.82
57.0,2.32,122.56,2806.24,1271.12,582.08,284.68,0.27,0.08,0.22,5.8,2.16,1.17,0.61,8.31,0.04,-1.27,2.63
58.0,1.52,62.84,961.72,277.64,260.92,48.88,0.22,0.06,0.35,4.62,1.53,0.86,0.24,2.18,0.02,-2.41,0.28
59.0,0.56,13.19,128.5,37.94,12.69,17.5,0.11,0.08,0.2,2.41,0.73,0.33,0.23,-0.04,-0.01,-1.85,-0.12
60.0,0.93,39.87,693.47,344.8,85.93,53.87,0.14,0.06,0.24,4.45,1.7,0.61,0.31,1.57,0.01,-1.31,0.21
