fips,year,month_name,unemployment_rate,employment_rate
08,2020,June,11.3,88.7
08,2020,July,6.8,93.2
08,2020,August,6.0,94.0
08,2020,September,6.2,93.8
08,2020,October,5.9,94.1
08,2020,November,6.1,93.9
08,2020,December,6.4,93.6
08,2021,January,6.6,93.4
08,2021,February,6.3,93.7
08,2021,March,6.2,93.8
08,2021,April,6.1,93.9
08,2021,May,5.8,94.2
08,2021,June,6.3,93.7
08,2021,July,5.8,94.2
08,2021,August,5.4,94.6
08,2021,September,4.8,95.2
08,2021,October,4.7,95.3
08,2021,November,4.1,95.9
08,2021,December,3.9,96.1
08,2022,January,4.2,95.8
08,2022,February,4.0,96.0
08,2022,March,3.4,96.6
08,2022,April,2.9,97.1
08,2022,May,2.8,97.2
08,2022,June,3.0,97.0
08,2022,July,3.0,97.0
08,2022,August,2.9,97.1
08,2022,September,2.6,97.4
08,2022,October,2.8,97.2
08,2022,November,2.9,97.1
08,2022,December,2.7,97.3
09,2020,January,4.3,95.7
09,2020,February,4.2,95.8
09,2020,March,4.7,95.3
09,2020,April,7.8,92.2
09,2020,May,12.1,87.9
09,2020,June,11.4,88.6
09,2020,July,12.1,87.9
09,2020,August,9.4,90.6
09,2020,September,8.5,91.5
09,2020,October,7.4,92.6
09,2020,November,7.0,93.0
09,2020,December,6.9,93.1
09,2021,January,7.8,92.2
09,2021,February,7.9,92.1
09,2021,March,7.4,92.6
09,2021,April,7.0,93.0
09,2021,May,7.0,93.0
09,2021,June,7.1,92.9
09,2021,July,7.0,93.0
09,2021,August,6.4,93.6
09,2021,September,5.6,94.4
09,2021,October,5.4,94.6
09,2021,November,4.7,95.3
09,2021,December,4.4,95.6
09,2022,January,5.4,94.6
09,2022,February,5.2,94.8
09,2022,March,4.5,95.5
09,2022,April,4.0,96.0
09,2022,May,4.2,95.8
09,2022,June,4.1,95.9
09,2022,July,4.2,95.8
09,2022,August,4.0,96.0
09,2022,September,3.4,96.6
09,2022,October,3.5,96.5
09,2022,November,3.2,96.8
09,2022,December,2.9,97.1
10,2020,January,3.9,96.1
10,2020,February,3.6,96.4
10,2020,March,5.6,94.4
10,2020,April,12.7,87.3
10,2020,May,13.4,86.6
10,2020,June,12.9,87.1
10,2020,July,8.0,92.0
10,2020,August,7.4,92.6
10,2020,September,7.7,92.3
10,2020,October,4.8,95.2
10,2020,November,4.7,95.3
10,2020,December,5.2,94.8
10,2021,January,6.2,93.8
10,2021,February,6.2,93.8
10,2021,March,6.1,93.9
10,2021,April,5.9,94.1
10,2021,May,5.4,94.6
10,2021,June,6.2,93.8
10,2021,July,5.9,94.1
10,2021,August,5.6,94.4
10,2021,September,4.9,95.1
10,2021,October,4.7,95.3
10,2021,November,4.2,95.8
10,2021,December,4.0,96.0
10,2022,January,5.1,94.9
10,2022,February,4.7,95.3
10,2022,March,4.4,95.6
10,2022,April,4.1,95.9
10,2022,May,3.9,96.1
10,2022,June,4.5,95.5
10,2022,July,4.3,95.7
10,2022,August,4.4,95.6
10,2022,September,3.8,96.2
10,2022,October,4.0,96.0
10,2022,November,3.7,96.3
10,2022,December,3.5,96.5
11,2020,January,5.5,94.5
11,2020,February,5.3,94.7
11,2020,March,6.5,93.5
11,2020,April,10.5,89.5
11,2020,May,8.8,91.2
11,2020,June,8.9,91.1
11,2020,July,9.3,90.7
11,2020,August,8.6,91.4
11,2020,September,9.0,91.0
11,2020,October,8.4,91.6
11,2020,November,8.2,91.8
11,2020,December,7.3,92.7
11,2021,January,6.6,93.4
11,2021,February,7.0,93.0
11,2021,March,6.9,93.1
11,2021,April,6.6,93.4
11,2021,May,6.7,93.3
11,2021,June,8.0,92.0
11,2021,July,7.6,92.4
11,2021,August,7.4,92.6
11,2021,September,6.8,93.2
11,2021,October,6.4,93.6
11,2021,November,6.2,93.8
11,2021,December,5.2,94.8
11,2022,January,6.2,93.8
11,2022,February,5.5,94.5
11,2022,March,5.1,94.9
11,2022,April,4.2,95.8
11,2022,May,4.4,95.6
11,2022,June,4.9,95.1
11,2022,July,4.7,95.3
11,2022,August,4.6,95.4
11,2022,September,4.2,95.8
11,2022,October,4.4,95.6
11,2022,November,4.2,95.8
11,2022,December,4.1,95.9
12,2020,January,3.1,96.9
12,2020,February,2.8,97.2
12,2020,March,4.3,95.7
12,2020,April,12.9,87.1
12,2020,May,14.2,85.8
12,2020,June,11.8,88.2
12,2020,July,12.0,88.0
12,2020,August,8.7,91.3
12,2020,September,8.1,91.9
12,2020,October,6.8,93.2
12,2020,November,6.3,93.7
